t,x,y,z,vx,vy,vz
1617300.0,-5291.166421864141,-4618.666915629317,2095.746017874245,-2.204648436185054,-0.4134250865499237,-6.941366648173103
1617600.0,-5701.605159222629,-4530.555979442439,-50.42467013134593,-0.5049919384527453,1.00098030307339,-7.257278654126061
1617900.0,-5585.700291324331,-4024.3410879805842,-2191.203991734902,1.278582218718653,2.352559756616464,-6.900844554043816
1618200.0,-4942.317423330077,-3138.252343305475,-4123.684175855191,2.9832414959839584,3.51200510021963,-5.874143783969015
1618500.0,-3820.778767351449,-1948.7428894152868,-5655.169387722518,4.437977601086646,4.356105094608478,-4.244613126219861
1618800.0,-2320.743715596508,-566.4361916193766,-6623.710924155148,5.481654296079621,4.783017599894673,-2.149893032158186
1619100.0,-585.9735710201727,872.8025403649367,-6918.693600350894,5.9853119354793,4.7290642619735435,0.2073267296344226
1619400.0,1208.799119606543,2221.621636789564,-6497.95891171385,5.874986946220875,4.183373746469063,2.5775506536373856
1619700.0,2877.2042841301786,3338.4463514272693,-5397.455438795025,5.149214201232376,3.195872999510071,4.6956468446853625
1620000.0,4244.284858547481,4105.631450291473,-3730.1207646478606,3.8853966662114865,1.8747184499424898,6.320408548629705
1620300.0,5169.173221093669,4444.9880007462825,-1672.64647736281,2.230426894358994,0.3712961225641095,7.27389763061929
1620600.0,5562.573232707855,4327.197091759578,557.9880275745024,0.3761921116751153,-1.144554821632746,7.468397834043138
1620900.0,5395.474348728268,3773.237967835265,2733.1396312794072,-1.47284147953439,-2.511647269251088,6.913210936033758
1621200.0,4698.159566621949,2848.297205909851,4640.039044150438,-3.130285817575488,-3.599276382338708,5.701193266548637
1621500.0,3551.427709356472,1650.674980286291,6103.124903143766,-4.448065358051945,-4.318333501369745,3.982850789264919
1621800.0,2073.606196899969,298.90249666935483,6997.186022694184,-5.324523020998284,-4.622612733097195,1.9391390450258408
1622100.0,406.5873480799607,-1080.498221921401,7253.081130756898,-5.703600539623473,-4.503992532964206,-0.2400344706161494
1622400.0,-1297.159384933559,-2363.45619033083,6858.1630607727575,-5.569909033685386,-3.985858749832419,-2.369668533329112
1622700.0,-2885.991277298488,-3436.914619469925,5853.512123820591,-4.943608420233822,-3.1174635741835117,-4.277583875028031
1623000.0,-4219.175770817526,-4205.969246968153,4329.276785655011,-3.876822769529448,-1.970073238351968,-5.8096158535582765
1623300.0,-5176.168333377304,-4600.094567681459,2418.537704061721,-2.451848402489729,-0.6346317639617024,-6.8346995943145545
1623600.0,-5665.527928890785,-4578.742613417583,289.3531492982147,-0.780229190369326,0.7803880504871119,-7.252164356316353
1623900.0,-5633.445567892188,-4136.115174905841,-1865.8166902946439,0.9992566666553728,2.152627345534478,-7.001952711571381
1624200.0,-5071.178726320018,-3304.38878762309,-3844.1117172962813,2.726318191829163,3.3527530905859666,-6.076825414622387
1624500.0,-4019.9917555890415,-2154.275687903415,-5449.856381022657,4.230212019294781,4.255375560530029,-4.533517402363353
1624800.0,-2571.869183778032,-791.6878645807923,-6514.863890511123,5.346877577515434,4.753948253907963,-2.498905613617342
1625100.0,-864.3069402832233,650.4291724177588,-6919.257558596743,5.940863543677037,4.777604859356229,-0.1666108326613079
1625400.0,931.7630808396857,2025.192101398209,-6609.399461622967,5.928376800946887,4.306480918676763,2.219249447403752
1625700.0,2630.459090030859,3188.677589451866,-5608.935094834934,5.295982508859184,3.3809949963935466,4.393416224853448
1626000.0,4053.6523098818684,4018.189835125379,-4019.477834991546,4.109051477107468,2.10111048932548,6.108268817678173
1626300.0,5054.00024363635,4428.462650743409,-2009.1913203817621,2.50491107078504,0.6131857235861189,7.173940352682457
1626600.0,5533.498728519153,4382.221093493639,209.3864652445898,0.6703495295868446,-0.9137227545381268,7.487949136323067
1626900.0,5453.648096302492,3892.848250922466,2407.608704399879,-1.190336870872687,-2.315404689944046,7.045195706758747
1627200.0,4835.853475450153,3019.29404295653,4368.747198914412,-2.8866953683905603,-3.4553209863580037,5.9269537593060875
1627500.0,3753.688106790713,1855.5819912736622,5910.447611943744,-4.2640561073084084,-4.2374461443103435,4.276499038037544
1627800.0,2320.360052224551,518.0143457329997,6899.156802821954,-5.213564575613066,-4.609000471805693,2.271510425465412
1628100.0,674.7599512709162,-867.2792925989328,7256.85832397453,-5.672347462812213,-4.556243143825587,0.101432623770436
1628400.0,-1031.7106942720359,-2175.090132157433,6962.177135539853,-5.618955422590792,-4.0979542112725404,-2.047443040263537
